word,coefficient
isn,1.0149956579084665
misinformation,1.0147615406491541
monster,1.0147031082729272
karma,1.0116155920961047
missing,1.010202538275779
broken,1.0092977192261139
brainwashed,1.0090387041398268
fearful,1.0089735615997377
fear,1.0046136200608775
nato,1.002659216145413
administration,1.000198332035836
purposely,0.9981187199045738
empath,0.9977009657329143
insecurity,0.9944046813570886
confusing,0.9931924393521748
suffer,0.9931073143241874
hatred,0.9917602568145173
unpredictable,0.9915432176184159
diagnosis,0.9886652398796162
refuses,0.9857508125373835
disrespected,0.983505104385868
violence,0.9824579084897562
fireworks,0.9822693275182577
bizarre,0.9799906180948427
ghost,0.9790017883439831
problematic,0.9776455454842446
extinguishers,0.9769688988919116
craving,0.9766799861915321
trapped,0.9758531241059009
injured,0.9753032107241407
covert,0.9726474881946754
doubt,0.972214920571208
terrified,0.9718875980595486
supposed,0.9711154729827213
worried,0.9710794877428882
unsettling,0.9709648104741121
enemy,0.9708293055687665
claim,0.9662134709526439
obsession,0.9650680262505003
nowadays,0.9641039537725815
dare,0.963414484632651
forgotten,0.9613663231721109
folks,0.9599511990396781
murderer,0.9593480704228395
diagnose,0.958311210616382
windows,0.9579792179238985
disagree,0.9567057012200552
demons,0.9563195014279225
bully,0.9556411664788308
damned,0.9555666237187493
addict,0.9543073573072869
confused,0.954275241609685
crash,0.954056747540297
threatens,0.9525582275599608
ads,0.9521466537587129
targeted,0.951842365711083
outcome,0.9517764127628008
manipulators,0.9514078443252248
forced,0.9502394802899917
wanting,0.9486255310046365
bc,0.9470177503067512
place,0.9448917572045353
foam,0.937743169241156
driven,0.9320024983520022
ex,0.9314381525293582
chanel,0.9314074342528078
doesn,0.9313813745367482
70,0.931263928569233
curse,0.9308363181554631
insanity,0.929829790244902
riots,0.9287289254634672
silly,0.9283466048284225
manipulate,0.9259965195026256
moron,0.9252546756930382
losing,0.9246917689546114
poorly,0.9229984088147956
hardly,0.9225016625125441
terrorists,0.9223969867368147
cop,0.9194147950491927
blind,0.9193366429686451
autistic,0.9180611229569875
needs,0.9180606950102491
failed,0.9176384763325095
